_id,Recipe,Mutated,Corrected,Desired,Executed,Deviation
1,[kg],[kg],[kg],[kg],[kg],[kg]
2,43453.08,35969.46,37490.11,37490.38,35977.85,8.39
3,Total,"","","","",""
4,Hok 03-01-001                                                                                   Stable     3      Group    1      Animal shelter        1,"","","","",""
5,"","","","","",""
6,"","","","","",""
7,Total,"","","","",""
8,Hok 03-01-002                                                                                   Stable     3      Group    1      Animal shelter        2,"","","","",""
9,"","","","","",""
10,"","","","","",""
11,Total,"","","","",""
12,Hok 03-01-003                                                                                   Stable     3      Group    1      Animal shelter        3,"","","","",""
13,"","","","","",""
14,"","","","","",""
15,Total,"","","","",""
16,Hok 03-01-004                                                                                   Stable     3      Group    1      Animal shelter        4,"","","","",""
17,"","","","","",""
18,"","","","","",""
19,Total,"","","","",""
20,Hok 03-01-005                                                                                   Stable     3      Group    1      Animal shelter        5,"","","","",""
21,"","","","","",""
22,"","","","","",""
23,Total,"","","","",""
24,Hok 03-01-006                                                                                   Stable     3      Group    1      Animal shelter        6,"","","","",""
25,"","","","","",""
26,"","","","","",""
27,Total,"","","","",""
28,Hok 03-01-007                                                                                   Stable     3      Group    1      Animal shelter        7,"","","","",""
29,"","","","","",""
30,"","","","","",""
31,Total,"","","","",""
32,Hok 03-01-009                                                                                   Stable     3      Group    1      Animal shelter        9,"","","","",""
33,"","","","","",""
34,"","","","","",""
35,Total,"","","","",""
36,Hok 03-01-010                                                                                   Stable     3      Group    1      Animal shelter        10,"","","","",""
37,"","","","","",""
38,"","","","","",""
39,Total,"","","","",""
40,Hok 03-01-011                                                                                   Stable     3      Group    1      Animal shelter        11,"","","","",""
41,"","","","","",""
42,"","","","","",""
43,Total,"","","","",""
44,Hok 03-01-012                                                                                   Stable     3      Group    1      Animal shelter        12,"","","","",""
45,"","","","","",""
46,"","","","","",""
47,Total,"","","","",""
48,Hok 03-01-013                                                                                   Stable     3      Group    1      Animal shelter        13,"","","","",""
49,"","","","","",""
50,"","","","","",""
51,Total,"","","","",""
52,Hok 03-02-014                                                                                   Stable     3      Group    2      Animal shelter        14,"","","","",""
53,"","","","","",""
54,"","","","","",""
55,Total,"","","","",""
56,Hok 03-02-015                                                                                   Stable     3      Group    2      Animal shelter        15,"","","","",""
57,"","","","","",""
58,"","","","","",""
59,Total,"","","","",""
60,Hok 03-02-016                                                                                   Stable     3      Group    2      Animal shelter        16,"","","","",""
61,"","","","","",""
62,"","","","","",""
63,Total,"","","","",""
64,Hok 03-02-018                                                                                   Stable     3      Group    2      Animal shelter        18,"","","","",""
65,"","","","","",""
66,"","","","","",""
67,Total,"","","","",""
68,Hok 03-02-019                                                                                   Stable     3      Group    2      Animal shelter        19,"","","","",""
69,"","","","","",""
70,"","","","","",""
71,Total,"","","","",""
72,Hok 03-02-020                                                                                   Stable     3      Group    2      Animal shelter        20,"","","","",""
73,"","","","","",""
74,"","","","","",""
75,Total,"","","","",""
76,Hok 03-02-021                                                                                   Stable     3      Group    2      Animal shelter        21,"","","","",""
77,"","","","","",""
78,"","","","","",""
79,Total,"","","","",""
80,Hok 03-02-022                                                                                   Stable     3      Group    2      Animal shelter        22,"","","","",""
