_id,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
1,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
2,Loading WeightBased,05:04,05:06,Strobunker 1,58.2,47.98,49.71,47.05,46.7,-0.35
3,Mixing Continuous,05:04,05:06,"",0.0,0.0,0.0,0.0,0.0,0.0
4,Loading WeightBased,05:07,05:09,Broksilo 3,588.48,485.08,502.61,475.68,470.78,-4.9
5,Mixing Continuous,05:07,05:09,"",0.0,0.0,0.0,0.0,0.0,0.0
6,Mixing OnTime,05:09,05:13,"",0.0,0.0,0.0,0.0,0.0,0.0
7,Dosing Default,05:18,05:18,Trough [02-09-099],12.24,8.57,8.5,8.5,8.0,-0.5
8,Dosing Default,05:18,05:18,Trough [02-09-100],12.24,9.79,9.78,9.78,9.77,-0.01
9,Dosing Default,05:19,05:19,Trough [02-09-101],12.24,9.79,9.95,9.95,10.35,0.4
10,Dosing Default,05:19,05:19,Trough [02-09-102],12.24,11.63,11.43,11.43,11.4,-0.03
11,Dosing Default,05:19,05:20,Trough [02-09-103],12.24,9.79,9.73,9.73,10.12,0.39
12,Dosing Default,05:20,05:20,Trough [02-09-104],12.24,9.79,10.13,10.13,9.97,-0.16
13,Dosing Default,05:20,05:20,Trough [02-09-105],12.24,11.02,9.38,9.38,9.16,-0.22
14,Dosing Default,05:20,05:21,Trough [02-09-106],12.24,11.02,12.06,12.06,11.32,-0.74
15,Dosing Default,05:21,05:21,Trough [02-09-107],12.24,8.57,10.96,10.96,10.13,-0.83
16,Dosing Default,05:21,05:22,Trough [02-09-108],12.24,6.73,7.39,7.39,7.53,0.14
17,Dosing Default,05:22,05:22,Trough [02-09-109],12.24,9.18,9.96,9.96,8.71,-1.25
18,Dosing Default,05:22,05:23,Trough [02-09-110],12.24,9.18,9.37,9.37,9.45,0.08
19,Dosing Default,05:25,05:25,Trough [02-01-111],12.24,9.79,10.4,10.4,9.7,-0.7
20,Dosing Default,05:25,05:25,Trough [02-01-112],12.24,9.79,9.79,9.79,9.53,-0.26
21,Dosing Default,05:26,05:26,Trough [02-01-113],12.24,10.4,10.35,10.35,9.99,-0.36
22,Dosing Default,05:26,05:26,Trough [02-01-114],12.24,9.79,10.12,10.12,9.9,-0.22
23,Dosing Default,05:26,05:27,Trough [02-01-115],12.24,11.63,11.64,11.64,11.25,-0.39
24,Dosing Default,05:27,05:27,Trough [02-01-116],12.24,11.02,11.36,11.36,11.14,-0.22
25,Dosing Default,05:27,05:27,Trough [02-01-117],12.24,11.02,11.89,11.89,10.62,-1.27
26,Dosing Default,05:27,05:27,Trough [02-01-118],12.24,11.02,11.26,11.26,10.25,-1.01
27,Dosing Default,05:28,05:28,Trough [02-01-119],12.24,9.79,10.28,10.28,9.62,-0.66
28,Dosing Default,05:28,05:28,Trough [02-01-120],12.24,11.02,10.88,10.88,10.27,-0.61
29,Dosing Default,05:29,05:29,Trough [02-01-121],12.24,12.24,13.26,13.26,13.26,0.0
30,Dosing Default,05:29,05:29,Trough [02-01-122],12.24,8.57,8.96,8.96,8.56,-0.4
31,Dosing Default,05:31,05:31,Trough [02-01-123],12.24,9.18,9.21,9.21,8.82,-0.39
32,Dosing Default,05:31,05:31,Trough [02-01-124],12.24,7.34,7.54,7.54,7.13,-0.41
33,Dosing Default,05:32,05:32,Trough [02-01-125],12.24,11.02,11.32,11.32,10.67,-0.65
34,Dosing Default,05:32,05:32,Trough [02-01-126],12.24,8.57,9.09,9.09,8.77,-0.32
35,Dosing Default,05:32,05:33,Trough [02-01-127],10.2,9.18,9.52,9.52,9.13,-0.39
36,Dosing Default,05:33,05:33,Trough [02-01-128],12.24,11.02,11.94,11.94,11.32,-0.62
37,Dosing Default,05:33,05:33,Trough [02-01-129],12.24,10.4,10.3,10.3,9.96,-0.34
38,Dosing Default,05:33,05:34,Trough [02-01-130],12.24,12.85,14.37,14.37,13.58,-0.79
39,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
40,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
41,Dosing Default,05:34,05:34,Trough [02-01-131],12.24,7.96,8.82,8.82,8.6,-0.22
42,Dosing Default,05:34,05:34,Trough [02-01-132],12.24,9.18,9.6,9.6,8.98,-0.62
43,Dosing Default,05:35,05:35,Trough [02-01-133],12.24,12.24,12.63,12.63,12.3,-0.33
44,Dosing Default,05:35,05:35,Trough [02-01-134],12.24,12.24,12.54,12.54,11.61,-0.93
45,Dosing Default,05:37,05:37,Trough [02-01-135],12.24,8.57,8.75,8.75,9.03,0.28
46,Dosing Default,05:37,05:37,Trough [02-01-136],12.24,8.57,9.07,9.07,9.0,-0.07
47,Dosing Default,05:38,05:38,Trough [02-01-137],12.24,10.4,10.9,10.9,10.42,-0.48
48,Dosing Default,05:38,05:38,Trough [02-01-138],12.24,9.79,10.33,10.33,9.97,-0.36
49,Dosing Default,05:39,05:39,Trough [02-01-139],12.24,11.02,11.48,11.48,11.34,-0.14
50,Dosing Default,05:39,05:39,Trough [02-01-140],12.24,11.63,10.76,10.76,10.39,-0.37
51,Dosing Default,05:39,05:40,Trough [02-01-141],12.24,11.02,11.91,11.91,11.56,-0.35
52,Dosing Default,05:40,05:40,Trough [02-01-142],12.24,9.18,9.92,9.92,10.35,0.43
53,Dosing Default,05:40,05:41,Trough [02-01-143],12.24,8.57,8.66,8.66,7.92,-0.74
54,Dosing Default,05:41,05:41,Trough [02-01-144],12.24,11.02,11.84,11.84,11.74,-0.1
55,Dosing Default,05:41,05:41,Trough [02-01-145],12.24,9.79,10.2,10.2,9.76,-0.44
56,Dosing Default,05:42,05:42,Trough [02-01-146],12.24,9.18,9.59,9.59,8.84,-0.75
57,Dosing Default,05:44,05:44,Trough [02-01-147],12.24,11.02,11.13,11.13,10.66,-0.47
58,Dosing Default,05:44,05:44,Trough [02-01-148],12.24,11.02,11.38,11.38,11.01,-0.37
59,Dosing Default,05:44,05:45,Trough [02-01-149],12.24,12.24,12.4,12.4,12.08,-0.32
60,Dosing Default,05:45,05:45,Trough [02-01-150],12.24,9.18,9.39,9.39,9.0,-0.39
61,Dosing Default,05:45,05:45,Trough [02-01-151],12.24,8.57,8.87,8.87,9.0,0.13
62,44286                                                                                                                     Status           Finished,"","","","","","","","",""
63,Recipe,"","","","","","","","",""
64,Density Dry matter,"","","","","","","","",""
65,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
66,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
67,Loading WeightBased,05:57,05:59,Strobunker 1,54.53,47.3,49.13,47.84,48.45,0.61
68,Mixing Continuous,05:57,05:59,"",0.0,0.0,0.0,0.0,0.0,0.0
69,Loading WeightBased,06:00,06:01,Broksilo 3,551.35,478.3,496.78,483.74,481.47,-2.27
70,Mixing Continuous,06:00,06:01,"",0.0,0.0,0.0,0.0,0.0,0.0
71,Mixing OnTime,06:01,06:05,"",0.0,0.0,0.0,0.0,0.0,0.0
72,Dosing Default,06:10,06:10,Trough [02-01-152],12.24,9.79,10.15,10.15,10.18,0.03
73,Dosing Default,06:11,06:11,Trough [02-01-153],12.24,11.63,11.92,11.92,11.41,-0.51
74,Dosing Default,06:11,06:11,Trough [02-01-154],10.2,11.22,11.78,11.78,11.35,-0.43
75,Dosing Default,06:11,06:12,Trough [02-01-155],12.24,7.34,7.48,7.48,7.43,-0.05
