_id,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
1,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
2,Loading WeightBased,05:02,05:04,Strobunker 1,57.42,48.27,50.18,47.24,47.39,0.15
3,Mixing Continuous,05:02,05:04,"",0.0,0.0,0.0,0.0,0.0,0.0
4,Loading WeightBased,05:05,05:07,Broksilo 4,580.58,488.03,507.38,477.61,499.37,21.76
5,Mixing Continuous,05:05,05:07,"",0.0,0.0,0.0,0.0,0.0,0.0
6,Mixing OnTime,05:07,05:11,"",0.0,0.0,0.0,0.0,0.0,0.0
7,Dosing Default,05:15,05:16,Trough [02-09-098],4.0,1.6,1.43,1.43,1.6,0.17
8,Dosing Default,05:16,05:16,Trough [02-09-099],12.0,7.2,8.0,8.0,7.08,-0.92
9,Dosing Default,05:16,05:16,Trough [02-09-100],12.0,8.4,8.59,8.59,8.54,-0.05
10,Dosing Default,05:17,05:17,Trough [02-09-101],12.0,10.2,10.52,10.52,10.08,-0.44
11,Dosing Default,05:17,05:17,Trough [02-09-102],12.0,9.6,9.6,9.6,9.47,-0.13
12,Dosing Default,05:17,05:18,Trough [02-09-103],12.0,9.6,10.33,10.33,10.33,0.0
13,Dosing Default,05:18,05:18,Trough [02-09-104],12.0,7.8,7.44,7.44,7.38,-0.06
14,Dosing Default,05:18,05:18,Trough [02-09-105],12.0,11.4,12.0,12.0,11.64,-0.36
15,Dosing Default,05:18,05:18,Trough [02-09-106],12.0,11.4,12.25,12.25,12.02,-0.23
16,Dosing Default,05:19,05:19,Trough [02-09-107],12.0,9.6,10.13,10.13,9.17,-0.96
17,Dosing Default,05:19,05:19,Trough [02-09-108],12.0,6.0,6.69,6.69,6.4,-0.29
18,Dosing Default,05:19,05:20,Trough [02-09-109],12.0,9.6,10.55,10.55,10.27,-0.28
19,Dosing Default,05:20,05:20,Trough [02-09-110],12.0,11.4,12.19,12.19,11.65,-0.54
20,Dosing Default,05:22,05:22,Trough [02-01-111],12.0,9.6,9.97,9.97,9.2,-0.77
21,Dosing Default,05:22,05:22,Trough [02-01-112],12.0,10.8,10.89,10.89,10.22,-0.67
22,Dosing Default,05:22,05:23,Trough [02-01-113],12.0,11.4,11.8,11.8,11.12,-0.68
23,Dosing Default,05:23,05:23,Trough [02-01-114],12.0,10.8,11.2,11.2,11.03,-0.17
24,Dosing Default,05:23,05:23,Trough [02-01-115],12.0,12.6,13.41,13.41,12.95,-0.46
25,Dosing Default,05:23,05:24,Trough [02-01-116],12.0,12.0,12.72,12.72,12.34,-0.38
26,Dosing Default,05:24,05:24,Trough [02-01-117],12.0,11.4,12.06,12.06,11.56,-0.5
27,Dosing Default,05:24,05:25,Trough [02-01-118],12.0,10.2,10.41,10.41,9.59,-0.82
28,Dosing Default,05:25,05:25,Trough [02-01-119],12.0,9.6,9.85,9.85,9.41,-0.44
29,Dosing Default,05:25,05:26,Trough [02-01-120],12.0,11.4,11.9,11.9,11.36,-0.54
30,Dosing Default,05:26,05:26,Trough [02-01-121],12.0,12.0,12.48,12.48,12.22,-0.26
31,Dosing Default,05:26,05:26,Trough [02-01-122],12.0,8.4,8.73,8.73,8.43,-0.3
32,Dosing Default,05:28,05:28,Trough [02-01-123],12.0,11.4,10.26,10.26,9.53,-0.73
33,Dosing Default,05:28,05:29,Trough [02-01-124],12.0,8.4,8.72,8.72,7.97,-0.75
34,Dosing Default,05:29,05:29,Trough [02-01-125],12.0,11.4,11.84,11.84,10.73,-1.11
35,Dosing Default,05:29,05:29,Trough [02-01-126],12.0,8.4,8.9,8.9,8.88,-0.02
36,Dosing Default,05:30,05:30,Trough [02-01-127],10.0,8.5,8.56,8.56,8.12,-0.44
37,Dosing Default,05:30,05:30,Trough [02-01-128],12.0,8.4,8.85,8.85,8.59,-0.26
38,Dosing Default,05:30,05:31,Trough [02-01-129],12.0,11.4,12.38,12.38,11.42,-0.96
39,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
40,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
41,Dosing Default,05:31,05:31,Trough [02-01-130],12.0,11.4,11.8,11.8,11.12,-0.68
42,Dosing Default,05:31,05:31,Trough [02-01-131],12.0,8.4,8.9,8.9,9.12,0.22
43,Dosing Default,05:31,05:32,Trough [02-01-132],12.0,8.4,8.8,8.8,8.62,-0.18
44,Dosing Default,05:32,05:32,Trough [02-01-133],12.0,12.0,12.35,12.35,11.82,-0.53
45,Dosing Default,05:32,05:32,Trough [02-01-134],12.0,12.6,12.69,12.69,12.41,-0.28
46,Dosing Default,05:34,05:34,Trough [02-01-135],12.0,9.0,9.11,9.11,8.89,-0.22
47,Dosing Default,05:34,05:34,Trough [02-01-136],12.0,8.4,8.33,8.33,8.21,-0.12
48,Dosing Default,05:35,05:35,Trough [02-01-137],12.0,12.0,12.13,12.13,11.33,-0.8
49,Dosing Default,05:35,05:35,Trough [02-01-138],12.0,10.2,11.02,11.02,10.44,-0.58
50,Dosing Default,05:35,05:36,Trough [02-01-139],12.0,9.6,11.49,11.49,11.34,-0.15
51,Dosing Default,05:36,05:36,Trough [02-01-140],12.0,12.0,12.56,12.56,12.48,-0.08
52,Dosing Default,05:36,05:36,Trough [02-01-141],12.0,10.2,11.01,11.01,10.17,-0.84
53,Dosing Default,05:36,05:37,Trough [02-01-142],12.0,8.4,8.82,8.82,8.99,0.17
54,Dosing Default,05:37,05:37,Trough [02-01-143],12.0,9.6,9.9,9.9,9.38,-0.52
55,Dosing Default,05:37,05:37,Trough [02-01-144],12.0,10.8,11.06,11.06,10.63,-0.43
56,Dosing Default,05:38,05:38,Trough [02-01-145],12.0,9.6,9.38,9.38,9.07,-0.31
57,Dosing Default,05:38,05:38,Trough [02-01-146],12.0,8.4,9.06,9.06,8.27,-0.79
58,Dosing Default,05:40,05:40,Trough [02-01-147],12.0,11.4,11.35,11.35,11.04,-0.31
59,Dosing Default,05:40,05:40,Trough [02-01-148],12.0,12.6,12.97,12.97,12.67,-0.3
60,Dosing Default,05:41,05:41,Trough [02-01-149],12.0,10.8,10.98,10.98,10.36,-0.62
61,Dosing Default,05:41,05:41,Trough [02-01-150],12.0,9.6,9.78,9.78,9.83,0.05
62,Dosing Default,05:41,05:42,Trough [02-01-151],12.0,9.0,9.42,9.42,9.21,-0.21
63,43895                                                                                                                     Status           Finished,"","","","","","","","",""
64,Recipe,"","","","","","","","",""
65,Density Dry matter,"","","","","","","","",""
66,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
67,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
68,Loading WeightBased,05:51,05:54,Strobunker 1,54.72,47.1,49.79,45.78,45.56,-0.22
69,Mixing Continuous,05:52,05:54,"",0.0,0.0,0.0,0.0,0.0,0.0
70,Loading WeightBased,05:55,05:56,Broksilo 4,553.28,476.2,503.45,462.84,460.38,-2.46
71,Mixing Continuous,05:55,05:56,"",0.0,0.0,0.0,0.0,0.0,0.0
72,Mixing OnTime,05:56,06:00,"",0.0,0.0,0.0,0.0,0.0,0.0
73,Dosing Default,06:05,06:05,Trough [02-01-152],12.0,8.4,8.26,8.26,8.16,-0.1
74,Dosing Default,06:05,06:05,Trough [02-01-153],12.0,12.0,12.69,12.69,12.3,-0.39
75,Dosing Default,06:05,06:06,Trough [02-01-154],10.0,9.5,9.98,9.98,9.65,-0.33
76,Dosing Default,06:06,06:06,Trough [02-01-155],12.0,7.2,7.56,7.56,7.13,-0.43
77,Dosing Default,06:06,06:06,Trough [02-01-156],12.0,7.2,7.56,7.56,6.98,-0.58
78,Dosing Default,06:07,06:07,Trough [02-01-157],12.0,9.0,9.46,9.46,8.86,-0.6
79,Dosing Default,06:07,06:07,Trough [02-01-158],12.0,9.6,10.18,10.18,9.44,-0.74
80,Dosing Default,06:09,06:09,Trough [02-01-159],12.0,10.8,11.34,11.34,10.66,-0.68
